,gdp,region,green_space_and_square,urban_district_population,urban_population,urban_district_temporary_population,c_area,c_water_resources,min_frame_area,max_frame_area,biz,decoration,longitude,latitude,min_frame_rooms,max_frame_rooms,near_main_road,shopping,bus,equipment,bussiness_circle,built_house,bj_tj,small_frame,medicine,three_jia,water_scene,tech_house,vr,brand_seller,metro,round_line,greenland,car_park,low_density,big_block,veg_market,mul_trace,entertain,snack,house_type,sale_status,has_short_video,open_date,lowest_total_price,is_cooperation,reference_lowest_total_price,reference_highest_total_price,is_support_online_sale,experts_recommend,reference_unit_price
count,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0
mean,8953.099207606967,3.2931854199683044,73.51619651347059,458.9871632329625,337.52822503961846,174.8640887480191,390.4290015847856,670035.2424722662,98.12995245641838,164.67828843106182,0.2266244057052298,0.5990491283676703,114.22080824088748,30.688288431061814,2.4595879556259903,3.7448494453248813,0.39144215530903326,0.41996830427892234,0.34231378763866877,0.36450079239302696,0.3185419968304279,0.039619651347068144,0.003169572107765452,0.05071315372424723,0.23137876386687797,0.08240887480190175,0.004754358161648178,0.003169572107765452,0.1648177496038035,0.16323296354992076,0.09508716323296355,0.08874801901743265,0.07448494453248812,0.006339144215530904,0.042789223454833596,0.03645007923930269,0.03486529318541997,0.1347068145800317,0.08399366085578447,0.07606973058637084,0.2630744849445325,0.01584786053882726,0.3692551505546751,1907.6164817749604,12673341.236133123,1.12202852614897,193.68326465927098,316.7222979397782,0.09508716323296355,0.9904912836767037,16053.107765451665
std,9181.69858748224,1.842514111124209,81.86986622675465,551.4951221503153,469.18768891109386,238.1836579278487,366.17481807748794,1075544.7465305412,53.3435606845444,147.41727673593925,0.41897969414021274,0.49047989049439716,5.517944045436385,6.378185385508447,0.8879434888965326,1.0924857056180857,0.48846014546959043,0.4939449223297821,0.4748604170350937,0.4816717214261127,0.46628055223459064,0.19521867558138806,0.0562542535363123,0.21958539243933367,0.4220484822737546,0.2752047967879202,0.0688423195508039,0.05625425353631248,0.3713103225348815,0.3698712876817589,0.2935680073342364,0.2846052987689071,0.26276674310290915,0.07942894821476996,0.20254214128124873,0.1875559098758527,0.183584086308989,0.34168100030490717,0.27759836230316925,0.26531997134293955,0.6150617926102203,0.12498584932355285,0.4829859998640739,5788.699825122968,268649262.43090206,0.990112871140288,317.90304199045545,541.2712693998519,0.2935680073342364,4.694803433804933,11602.843217968131
min,36.76,0.0,0.01,10.4,4.16,0.5,16.2,51300.0,19.0,19.0,0.0,0.0,100.13,18.28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,240000.0,0.0,24.0,32.0,0.0,0.0,4300.0
25%,2351.7,2.0,15.6,127.05000000000001,79.06,19.4,121.29,166600.0,76.0,120.0,0.0,0.0,110.32,25.025,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,800000.0,0.0,73.95,125.5,0.0,0.0,8939.5
50%,5309.43,3.0,49.01,281.5,149.0,66.13,272.66,414700.0,89.0,138.0,0.0,1.0,114.26,30.79,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,1250000.0,2.0,120.0,188.0,0.0,0.0,13000.0
75%,12156.54,5.0,99.83,569.0,364.67,289.8,506.6,784338.0,103.0,166.0,0.0,1.0,118.67,35.03,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1609.5,2165000.0,2.0,198.0,320.0,0.0,0.0,19000.0
max,43214.85,6.0,422.53,2649.8,2489.43,1047.97,1645.38,7668559.0,527.0,2841.0,1.0,1.0,125.43,44.08,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,44975.0,6750000000.0,2.0,4500.0,8800.0,1.0,53.0,112800.0
