标题,开发商,房子信息,发布信息,售价/万,单价
滇池边 国际会展旁 山海湾 品质楼盘 精装修 一线观滇,山海湾 -滇池半岛,4室2厅 | 305.38平米 | 西南 | 精装 | 31层  | 板塔结合,17人关注 / 一年前发布,720,"23,578元/平"
恒大金碧天下 恒大小高层124平85万 楼层高视野好,昆明恒大金碧天下 -太平新城,4室2厅 | 124.85平米 | 南 北 | 精装 | 11层  | 板楼,7人关注 / 一年前发布,85,"6,809元/平"
北市区车场旁 华龙人家一楼带60平米的花园 产权清晰,华龙人家 -红云,3室2厅 | 131平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,231,"17,634元/平"
南亚风情园旁四房  价格便宜  房东急售,金地悦天下 -西山万达,4室2厅 | 147.6平米 | 西南 | 精装 | 低楼层(共34层)  | 塔楼,23人关注 / 一年前发布,216,"14,635元/平"
滇池边盘龙江入滇口 金科江湖海183平米一线江景,金科江湖海 -滇池半岛,3室2厅 | 164.38平米 | 西南 | 毛坯 | 18层  | 板楼,8人关注 / 10个月以前发布,390,"23,726元/平"
板式房 证件在手 一楼花园可以拓展使用 精装修,金域蓝湾 -红云,4室2厅 | 143.14平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,23人关注 / 一年前发布,163,"11,388元/平"
南向，采光好，精致跃层带露台，视野开阔，交通便利,滇池卫城铂睿 -度假区,3室2厅 | 98.95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 8个月以前发布,182,"18,394元/平"
万达旁广福城和福园三室两厅两卫带车位房东诚心出售,广福城和福园 -大商汇,3室2厅 | 140.02平米 | 东南 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,150,"10,713元/平"
儿童医院旁 中铁水岸青城  看房方便,中铁水岸青城 -大商汇,3室2厅 | 109.37平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,22人关注 / 一年前发布,190,"17,373元/平"
爱琴海旁 配套齐全 户型方正 看房方便,未名城A3地块 -大商汇,4室2厅 | 184平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,230,"12,500元/平"
滇池高尔夫独栋精装修别墅寻主人证在手近公园1903,昆明滇池高尔夫 -度假区,4室2厅 | 305.9平米 | 南 | 精装 | 3层  | 板塔结合,26人关注 / 一年前发布,980,"32,037元/平"
华都A区顶带阁楼跃层带40平露台，精装四房,华都花园A区 -大商汇,4室2厅 | 95.42平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,4人关注 / 3个月以前发布,158,"16,559元/平"
昆华苑毛坯双拼别墅，位置好，带大花园和车库,昆华苑 -太平新城,7室3厅 | 394.51平米 | 东南 东 西 西南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 5个月以前发布,350,"8,872元/平"
诚心出售，随时看房，小区配套设施成熟,万科银海泊岸观澜 -度假区,4室2厅 | 142.65平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,1人关注 / 一年前发布,238,"16,685元/平"
一梯三户电梯房，户型好，小区环境优美,昆华苑 -太平新城,4室2厅 | 160.58平米 | 西南 | 精装 | 高楼层(共12层)  | 板楼,21人关注 / 一年前发布,84.9,"5,288元/平"
此房南北朝向格局通透、可观高尔夫球场，1梯2户带电梯,滇池卫城滟澜湾 -度假区,3室2厅 | 128.83平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 一年前发布,215,"16,689元/平"
大商汇旁 精装大四房 满两年  带车位  房东诚心出售,良辰水逸二期 -大商汇,4室2厅 | 185.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,170,"9,172元/平"
小区四房优质户型 公摊小 小区环境悠静 配套成熟,青青小镇 -大商汇,4室2厅 | 152.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,189,"12,394元/平"
万达双塔商圈 次新小区 精装三房 有证 产权车位 毛坯,润城五区 -西山万达,5室2厅 | 178.37平米 | 西南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,310,"17,380元/平"
地铁站旁 保利大家标准大四房 公摊小得房率高业主诚售,保利大家 -泛亚,4室2厅 | 103.95平米 | 西北 | 精装 | 高楼层(共28层)  | 板楼,9人关注 / 一年前发布,174,"16,739元/平"
滇池卫城铂睿 4室2厅 南 北,滇池卫城铂睿 -度假区,4室2厅 | 164.78平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,279,"16,932元/平"
山语锦苑诚卖别墅 带大地下室，通透采光好 均价低,富春山居 -太平新城,4室2厅 | 232.93平米 | 南 | 毛坯 | 高楼层(共4层)  | 板楼,22人关注 / 一年前发布,170,"7,299元/平"
星云园毛坯大跃层 带车位 房产证在手满两年,新亚洲体育城星云园 -新亚洲,5室2厅 | 248.31平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,265,"10,673元/平"
夏意雅园一梯两户板楼四房带家具诚心出售,夏意雅园 -大商汇,4室2厅 | 153.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,21人关注 / 10个月以前发布,149.8,"9,772元/平"
房屋格局通透，楼层好，毛坯易改造,东骧神骏 -金马,4室2厅 | 143.64平米 | 东南 南 | 毛坯 | 中楼层(共15层)  | 塔楼,0人关注 / 3个月以前发布,155.5,"10,826元/平"
位于高楼层，视野采光采阳佳，环境安静。,奥林匹克记者村 -太平新城,2室2厅 | 107.51平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,48,"4,465元/平"
带产权车位 小区中间位置 带双阳台 大四室 房产证在手,万科银海泊岸观澜 -度假区,4室2厅 | 143.88平米 | 东 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,243,"16,890元/平"
西山滇池地铁口总高8层电梯洋房，采光好景观好。,平和花园 -度假区,4室2厅 | 186平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,298,"16,022元/平"
润城二区全新现房毛坯西南向3房,润城二区 -大商汇,3室2厅 | 132.27平米 | 西南 | 毛坯 | 中楼层(共34层)  | 塔楼,6人关注 / 一年前发布,180,"13,609元/平"
此房地理位置优越，小区环境好适宜居住，毛坯房易改造,润城五区 -西山万达,4室2厅 | 135.29平米 | 南 西南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,221,"16,336元/平"
官南大道   锦苑花园 一楼带花园  可停车,锦苑花园 -昆明站,3室2厅 | 108.88平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,249.9,"22,952元/平"
瀑布公园融城昆明湖东南向端头房 带车位诚心出售,融城昆明湖 -昆明湖公园,5室2厅 | 205.89平米 | 东 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,238,"11,560元/平"
爱琴海旁 精装修五室 跃层 南北通透 满2年诚意出售,金盾花园 -大商汇,5室2厅 | 166.2平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,6人关注 / 一年前发布,230,"13,839元/平"
带多个阳台 滇池边会展旁 双地铁 大三房双卫 房东诚售,山海湾 -滇池半岛,5室3厅 | 332.81平米 | 南 | 毛坯 | 38层  | 板塔结合,11人关注 / 一年前发布,600,"18,029元/平"
万达片区省税大平层，业主诚心出售！,润城五区 -西山万达,5室2厅 | 178.37平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,300,"16,819元/平"
万达边，通透格局，人车分流，品质新小区,润城五区 -西山万达,4室2厅 | 135.33平米 | 南 西 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,222,"16,405元/平"
星云园毛坯大跃层 带车位 房产证在手满两年,新亚洲体育城星云园 -新亚洲,5室2厅 | 248.31平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,265,"10,673元/平"
荷塘月色，三房两卫业主诚意出售,荷塘月色 -昆八中,3室2厅 | 123.06平米 | 西南 | 精装 | 中楼层(共18层)  | 板楼,22人关注 / 一年前发布,175,"14,221元/平"
此房地理位置优越，小区环境好适宜居住，毛坯房易改造,润城五区 -西山万达,4室2厅 | 135.29平米 | 南 西南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,221,"16,336元/平"
官南大道   锦苑花园 一楼带花园  可停车,锦苑花园 -昆明站,3室2厅 | 108.88平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,249.9,"22,952元/平"
爱琴海购物广场、南亚第壹城、万达广场围绕四周,润城五区 -西山万达,4室2厅 | 135.26平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,212,"15,674元/平"
夏意雅园一梯两户板楼四房带家具诚心出售,夏意雅园 -大商汇,4室2厅 | 153.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,21人关注 / 10个月以前发布,149.8,"9,772元/平"
房子诚意出售，带全套拎包入住，满2年，精装修,华润中央公园 -昆明湖公园,8室4厅 | 276.88平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,290,"10,474元/平"
诚心出售和谐商圈华龙人家精装三房,华龙人家 -红云,3室2厅 | 118.42平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,125,"10,556元/平"
双河湾  精装修小户型 端头房 带100㎡花园120㎡地下室,筑友双河湾及第苑 -大商汇,2室2厅 | 52.33平米 | 东北 | 精装 | 低楼层(共12层)  | 板楼,25人关注 / 5个月以前发布,115,"21,976元/平"
滇池边双江畔品质楼盘金科江湖海213平米一楼带花园,金科江湖海 -滇池半岛,4室2厅 | 213平米 | 东南 | 毛坯 | 6层  | 板楼,0人关注 / 2个月以前发布,580,"27,231元/平"
带120平米的大露台，带产权车位，看房方便,和谐世纪 -红云,4室2厅 | 117.4平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 一年前发布,250,"21,295元/平"
南北朝向端头房精装修，一楼带120平的花园，明厨明卫,滇池卫城橡尚 -度假区,3室2厅 | 118.83平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,44人关注 / 一年前发布,260,"21,880元/平"
房子保养好，带屋顶花园，满两年没有增值税。。。。,南华小区锦华苑 -南亚,4室2厅 | 130.73平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,166,"12,698元/平"
红云板房，无遮挡采光足，价格亲民,金域蓝湾 -红云,3室2厅 | 120.94平米 | 南 北 | 简装 | 低楼层(共13层)  | 暂无数据,6人关注 / 一年前发布,150,"12,403元/平"
华龙人家南向东端头大3房，采光好，房东诚售！,华龙人家 -红云,3室2厅 | 136.01平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 6个月以前发布,138,"10,147元/平"
书香门第南北朝向正对小区花园小区中间位置一梯两户,书香门第 -红云,3室2厅 | 136.82平米 | 北 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,175,"12,791元/平"
明日城市房子 诚心出售 价格可谈,百年明日城市 -虹山,3室2厅 | 114.54平米 | 西 | 精装 | 中楼层(共6层)  | 塔楼,9人关注 / 一年前发布,130,"11,350元/平"
书香氛围稀有五室，房东诚售，楼层好，有车位,云大小区 -昆八中,5室2厅 | 175.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,215,"12,248元/平"
户型方正无浪费，采光采阳好， 精装修。,保利大家 -泛亚,4室2厅 | 165.31平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,11人关注 / 一年前发布,350,"21,173元/平"
官渡区 半岛上 滇池畔 会展旁 山海大平层 山海湾,山海湾 -滇池半岛,5室3厅 | 347平米 | 东南 南 西南 | 毛坯 | 38层  | 板塔结合,29人关注 / 一年前发布,617,"17,781元/平"
昆八中旁碧桂园半山龙庭 新房满两年电梯板房 南北通透,碧桂园半山龙庭 -昆八中,4室2厅 | 119.87平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,153,"12,764元/平"
双河湾金榜苑 5室3卫一梯一户大平层 套内,筑友双河湾金榜苑 -大商汇,5室2厅 | 156.96平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,15人关注 / 一年前发布,257,"16,374元/平"
润城小区108平三房二卫  东南向无遮挡 产权在手满2年,润城二区 -大商汇,3室1厅 | 108.93平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 6个月以前发布,154,"14,138元/平"
房子带一个产权车位，楼层好，采光好，毛坯,广福城沁福园 -大商汇,3室2厅 | 135.19平米 | 东北 | 毛坯 | 中楼层(共30层)  | 板楼,33人关注 / 一年前发布,155,"11,466元/平"
度假区 会展旁 山海湾 景观房 看房子方便,山海湾 -滇池半岛,5室2厅 | 380.95平米 | 南 西 | 毛坯 | 31层  | 板塔结合,4人关注 / 一年前发布,750,"19,688元/平"
万达商圈 盛高大城 经典跃层 户型方正 采光通风好,盛高大城 -南亚,3室2厅 | 188.85平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,330,"17,475元/平"
联排端户花园面积100+ 坐北朝南 居住舒适 产证在手,宁康园 -红云,4室3厅 | 231.11平米 | 南 北 | 简装 | 3层  | 板楼 | 联排别墅 ,26人关注 / 一年前发布,680,"29,424元/平"
精装大跃层 4房朝南带4个大阳台带车位 不临街采光好,广福小区二区 -大商汇,5室2厅 | 233.2平米 | 西南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,320,"13,723元/平"
此房是一楼还带个负一楼的电梯房,新亚洲体育城万景园 -新亚洲,4室2厅 | 232.32平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 6个月以前发布,230.8,"9,935元/平"
此房是五室两厅一厨三卫的退台洋房,新亚洲体育城千紫园 -新亚洲,5室2厅 | 190.29平米 | 东南 | 精装 | 高楼层(共5层)  | 塔楼,0人关注 / 4个月以前发布,280,"14,715元/平"
此房是五室两厅一次三卫的退台洋房,新亚洲体育城万景园 -新亚洲,5室2厅 | 186.63平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,243,"13,021元/平"
滇池畔，会展湿地旁，享受归家服务，满两年带车位！,山海湾 -滇池半岛,5室2厅 | 194.9平米 | 西南 | 毛坯 | 33层  | 板塔结合,27人关注 / 一年前发布,285,"14,623元/平"
中海次新小区 端户前后双阳台对主景观带车位诚售,中海龙泉公馆 -红云,4室2厅 | 139.66平米 | 东 西 | 精装 | 中楼层(共43层)  | 板楼,7人关注 / 一年前发布,206,"14,751元/平"
万科品质小高层洋房，一梯两户 诚心出售,万科银海泊岸 -度假区,4室2厅 | 136.83平米 | 南 | 其他 | 高楼层(共12层)  | 板楼,13人关注 / 一年前发布,223,"16,298元/平"
时代风华小区，精装四房三面采光 小区环境优美 绿化好,时代风华一期 -巫家坝,4室2厅 | 127.42平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,165,"12,950元/平"
万达 金坤祥和里 有证满二  标准大三房,金坤尚城祥和里 -南亚,3室1厅 | 142.09平米 | 东 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,215,"15,132元/平"
荷塘月色 满五年 证在手 小区中间位置 安静舒适,荷塘月色 -昆八中,3室2厅 | 130.13平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,200,"15,370元/平"
中海锦苑一楼4房带95平地下层买一层得两层,中海锦苑 -红云,4室2厅 | 94.88平米 | 东 西 | 毛坯 | 低楼层(共44层)  | 塔楼,26人关注 / 一年前发布,116,"12,226元/平"
"房屋户型方正，采光好,小区环境好",润城九重锦 -西山万达,4室2厅 | 173平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,328,"18,960元/平"
广福小区一区 中间楼层 标准4房  带车位出售 业主诚心,广福小区一区(西区) -大商汇,4室2厅 | 143.93平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 10个月以前发布,200,"13,896元/平"
满五不唯一，全南向，明厨明卫，户型好,润城 -南亚,3室2厅 | 118.27平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,146,"12,345元/平"
海康温泉精装大四房南北朝向户型方正诚意出售,海康温泉花园 -南亚,4室2厅 | 160.88平米 | 东南 | 精装 | 中楼层(共15层)  | 板楼,22人关注 / 一年前发布,215,"13,364元/平"
凯旋花园北区，户型方正，业主诚心出售,凯旋花园北区 -南亚,4室2厅 | 120平米 | 东 南 | 精装 | 中楼层(共11层)  | 板楼,11人关注 / 一年前发布,238,"19,834元/平"
滇池边，盘龙江边，金科江湖海品质4房,金科江湖海 -滇池半岛,4室1厅 | 135.25平米 | 西南 | 毛坯 | 8层  | 板楼,4人关注 / 6个月以前发布,306,"22,625元/平"
滇池边 联排别墅中户 大花园 诚意出售看房方便,海东俊园 -滇池半岛,4室2厅 | 268.27平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,2人关注 / 一年前发布,884,"32,952元/平"
海埂大坝边观景路双拼大别墅，带80平花园，带车库。,观海花苑 -度假区,7室2厅 | 467.86平米 | 东南 | 精装 | 低楼层(共4层)  | 暂无数据,6人关注 / 11个月以前发布,1100,"23,512元/平"
世博生态电梯洋房   天然氧吧  产权满两年,世博生态城鸣凤邻里 -世博,4室2厅 | 177.42平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,5人关注 / 一年前发布,349,"19,671元/平"
精装大4房，户型方正，东南朝向，交通方便,金坤尚城祥和里 -南亚,4室2厅 | 154.42平米 | 东南 | 简装 | 中楼层(共31层)  | 塔楼,9人关注 / 一年前发布,218,"14,118元/平"
毛坯标准大三房 中间楼层 业主诚心出售 随时可签,润城十区 -南亚,3室2厅 | 128.55平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,9人关注 / 一年前发布,165,"12,836元/平"
凯旋花园，精装三房，户型方正低楼层诚意出售,凯旋花园北区 -南亚,3室2厅 | 134.49平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,213,"15,838元/平"
滇池边，地铁口，度假区蓝调公园一梯二户精装洋房,滇池卫城蓝调公元 -度假区,3室2厅 | 141.23平米 | 南 | 精装 | 6层  | 板楼,1人关注 / 10个月以前发布,180,"12,746元/平"
一梯俩户。观澜2楼房东诚心出售,万科银海泊岸观澜 -度假区,4室2厅 | 143.53平米 | 东 | 毛坯 | 低楼层(共12层)  | 板楼,14人关注 / 一年前发布,255,"17,767元/平"
荷塘月色小区中间2梯2户精装板房诚心急售,荷塘月色 -昆八中,3室2厅 | 129.67平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,188,"14,499元/平"
万科银海泊岸4-2-1-2 132.15m² 205 万,万科银海泊岸 -度假区,4室2厅 | 132.15平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板楼,14人关注 / 7个月以前发布,204.9,"15,506元/平"
毛坯房 自由设计 看房方便 楼层好,瀚林澜山 -金沙,4室2厅 | 141.03平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,5人关注 / 一年前发布,166,"11,771元/平"
夏意雅园上叠加别墅装修50万带100平露台带家具带车库,夏意雅园 -大商汇,4室2厅 | 251.63平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 2个月以前发布,385,"15,301元/平"
华龙人家一梯两户大四房 诚心出售，中间楼层,华龙人家 -红云,4室2厅 | 126.26平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,7人关注 / 10个月以前发布,138,"10,930元/平"
毛坯房 自由设计 看房方便 楼层好,瀚林澜山 -金沙,4室2厅 | 141.03平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,5人关注 / 一年前发布,166,"11,771元/平"
西山区万达旁 金地悦天下 户型方正  采光好 南北朝向,金地悦天下 -西山万达,4室2厅 | 147.6平米 | 东南 | 简装 | 高楼层(共34层)  | 板塔结合,1人关注 / 11个月以前发布,235,"15,922元/平"
急售 和谐商圈 楼层好 视野开阔 拎包入住,和谐世纪 -红云,5室1厅 | 197.91平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,7人关注 / 一年前发布,185,"9,348元/平"
儿童医院旁 水岸艺城 跃层带露台 采光好 诚心出售,水岸艺城 -大商汇,5室3厅 | 200.84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,245,"12,199元/平"
华龙人家中间楼层，楼梯房，南北朝向、诚心出售、,华龙人家 -红云,4室2厅 | 146.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,141,"9,625元/平"
东南端头 全屋采光采阳 精装未住过 视野开阔,俊发城蔷薇苑 -司家营,4室2厅 | 143.64平米 | 东南 | 精装 | 高楼层(共43层)  | 板塔结合,12人关注 / 一年前发布,229,"15,943元/平"
北市区公交车场旁耀龙康城 一梯两户电梯板房诚心出售,江东耀龙康城 -红云,3室2厅 | 153平米 | 东 西 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,178,"11,634元/平"
凯旋花园，精装三房，户型方正低楼层诚意出售,凯旋花园北区 -南亚,3室2厅 | 134.49平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,213,"15,838元/平"
荷塘月色小区中间2梯2户精装板房诚心急售,荷塘月色 -昆八中,3室2厅 | 129.67平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,188,"14,499元/平"
万科银海泊岸4-2-1-2 132.15m² 205 万,万科银海泊岸 -度假区,4室2厅 | 132.15平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板楼,14人关注 / 7个月以前发布,204.9,"15,506元/平"
北市区 云康园 小高层满五年唯一 带地下产权车位,云康园小区 -昆八中,3室2厅 | 147.01平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,276,"18,775元/平"
毛坯标准大三房 中间楼层 业主诚心出售 随时可签,润城十区 -南亚,3室2厅 | 128.55平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,9人关注 / 一年前发布,165,"12,836元/平"
一梯俩户。观澜2楼房东诚心出售,万科银海泊岸观澜 -度假区,4室2厅 | 143.53平米 | 东 | 毛坯 | 低楼层(共12层)  | 板楼,14人关注 / 一年前发布,255,"17,767元/平"
精选万科银海泊岸 一楼带花园，带地下室，户型好，,万科银海泊岸 -度假区,4室2厅 | 131.27平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板楼,15人关注 / 一年前发布,305,"23,235元/平"
一梯两户  跃层带两个车位的品质房源,华龙人家 -红云,5室2厅 | 207.76平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,255,"12,274元/平"
急售！ 爱琴海 上芳草地 精装四居室 中间位置 随时看,福康花园北区 -红星,4室2厅 | 153.73平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,8人关注 / 一年前发布,221,"14,376元/平"
滇池半岛3室端头房 一楼带花园 业主诚心出售,中海半岛华府 -滇池半岛,3室2厅 | 115平米 | 西南 | 毛坯 | 11层  | 板楼,23人关注 / 一年前发布,299,"26,000元/平"
金地悦天下珺悦经典精装修大三房领包入住,金地·悦天下珺悦 -南亚,3室2厅 | 121.71平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,4人关注 / 5个月以前发布,210,"17,255元/平"
太平新城万邦花园，独栋别墅真诚出售，证件齐全已满二,凯旋溪谷 -太平新城,9室5厅 | 1139.8平米 | 东 东南 | 精装 | 3层  | 板楼 | 双拼别墅 ,3人关注 / 6个月以前发布,1112,"9,757元/平"
环湖东路万科银海一梯两户  户型方正。视野开阔。,万科银海泊岸 -度假区,5室2厅 | 148.48平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板楼,23人关注 / 4个月以前发布,230,"15,491元/平"
度假区滇池卫城尚层 简装四房带露台 采光好,滇池卫城尚层 -度假区,4室2厅 | 115.64平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,27人关注 / 一年前发布,200,"17,296元/平"
古滇名城关山月独栋别墅，业主诚心出售,七彩云南古滇名城 -晋宁,7室3厅 | 299.17平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 3个月以前发布,847,"28,312元/平"
南市区 新小区新房 现房 中铁水岸青城 高品质珍希户型,中铁水岸青城 -大商汇,3室2厅 | 127.3平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,216,"16,968元/平"
房子满2年，证件在手，随时可过户，南北朝向格局好,彩信园 -红云,4室2厅 | 118.55平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,29人关注 / 一年前发布,136,"11,472元/平"
耀龙康城电梯板式大四房 端户 满五唯一 采光好,江东耀龙康城 -红云,4室3厅 | 180.87平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,7人关注 / 8个月以前发布,209,"11,556元/平"
自贸区东泰花园跌加别墅  带私家车库  带花园  纯毛坯,东泰花园二区 -经开区,5室2厅 | 236.43平米 | 南 | 毛坯 | 低楼层(共2层)  | 板楼,9人关注 / 10个月以前发布,360,"15,227元/平"
古滇名城关山月独栋别墅一线观滇视野有车位有花园,七彩云南古滇名城 -晋宁,7室2厅 | 436.19平米 | 南 | 毛坯 | 低楼层(共1层)  | 暂无数据,4人关注 / 8个月以前发布,1599,"36,659元/平"
全新毛坯房四房，采光充足，户型方正，产权清晰。,瀚林澜山 -金沙,4室2厅 | 141.26平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,170,"12,035元/平"
房子满2年，证件在手，随时可过户，南北朝向格局好,彩信园 -红云,4室2厅 | 118.55平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,29人关注 / 一年前发布,136,"11,472元/平"
北市区半山龙庭 精装修 标准4房出售,碧桂园半山龙庭 -昆八中,4室2厅 | 147.76平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,9人关注 / 一年前发布,188,"12,724元/平"
滇池畔 半岛上 观海大平层 会展旁 山海湾 带车位,山海湾 -滇池半岛,4室2厅 | 160平米 | 西 东 | 毛坯 | 43层  | 板塔结合,4人关注 / 一年前发布,320,"20,000元/平"
金科江湖海盘龙江滇池边、大横厅、4房、产权在手诚售,金科江湖海 -滇池半岛,4室3厅 | 150.96平米 | 东南 | 毛坯 | 11层  | 板楼,12人关注 / 6个月以前发布,345,"22,854元/平"
一环内大四房加保姆间 圆通山  翠湖  小菜园,美丽家园 -翠湖,5室2厅 | 178.44平米 | 东 西 | 简装 | 中楼层(共13层)  | 板楼,31人关注 / 一年前发布,275,"15,412元/平"
地铁边南北通透中间户型大四房诚售,隆居花园 -红星,4室2厅 | 143.21平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,150,"10,475元/平"
关上银海温泉花园 大跃层 单价8000 业主急售随时看房,银海温泉花园 -国贸,4室2厅 | 229.11平米 | 东 南 | 简装 | 高楼层(共7层)  | 暂无数据,20人关注 / 一年前发布,190,"8,293元/平"
绿地海珀澜庭 毛坯端头 电梯入户 看房有钥匙 带车位,绿地海珀澜庭 -草海,3室2厅 | 147.38平米 | 西南 | 毛坯 | 中楼层(共16层)  | 板楼,6人关注 / 一年前发布,275,"18,660元/平"
