标题,开发商,房子信息,发布信息,售价/万,单价
星宇园南北通透大4居精装可拎包入住了房本在手,新亚洲体育城星宇园 -新亚洲,4室2厅 | 145.84平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 7天以前发布,147,"10,080元/平"
如安街标准两室 双证在手 户型方正 随时方便看房,华兴巷 -小西门,2室2厅 | 50.4平米 | 东 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 16天以前发布,110,"21,826元/平"
滇池ONE 海东湿地公园旁 电梯洋房 一梯两户 南向,海东俊园 -滇池半岛,3室2厅 | 108.57平米 | 东南 | 精装 | 6层  | 板楼,1人关注 / 13天以前发布,245,"22,567元/平"
同德商圈   中间楼层 一梯两户 端头房  南北通透,金康园 -白云,3室2厅 | 106.56平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,165,"15,485元/平"
穿金路跃层 精装修 满两年 业主诚心出售,美树橙 -世博,4室1厅 | 135.6平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 13天以前发布,123,"9,071元/平"
金沙小区位置平坦 好楼层日照时间长 双面采光通透,金沙小区 -金沙,3室2厅 | 95.02平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,82,"8,630元/平"
昆明化油器厂宿舍 2室2厅 南 北,昆明化油器厂宿舍 -昙华寺,2室2厅 | 48.68平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 5天以前发布,38.6,"7,930元/平"
滇池路地铁口 华夏御府御棠 精装4室带车位,华夏御府御棠 -红星,4室2厅 | 148.29平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,430,"28,998元/平"
CBD里的世外桃源，田园生活，带60平米露台 纯板,中海寰宇天下 -巫家坝,4室2厅 | 144.2平米 | 西南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,255,"17,684元/平"
星宇园全南户型带车位基本没有住，保养很干净,新亚洲体育城星宇园 -新亚洲,4室1厅 | 140.1平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 5天以前发布,155,"11,064元/平"
巫家坝保利精品大三房·相当优质,保利堂悦 -巫家坝,3室2厅 | 119.74平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 4天以前发布,190,"15,868元/平"
金江小区 交易方便 满两年 急售！,金江小区·曦苑 -司家营,3室1厅 | 148平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 3天以前发布,163,"11,014元/平"
华都B区1梯2户高层电梯 房板房顶楼跃层带露台,华都花园B区 -大商汇,4室2厅 | 91.94平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 17天以前发布,150,"16,315元/平"
大雁湖50亩 精装修二居室 总价低 昆八中旁,荷塘月色 -昆八中,2室2厅 | 71.85平米 | 西 | 精装 | 中楼层(共12层)  | 板塔结合,1人关注 / 29天以前发布,81,"11,274元/平"
中间楼层精装三房，业主急卖 急卖 急卖看房方便有钥匙,东骧神骏 -金马,3室2厅 | 93.67平米 | 东 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,106,"11,317元/平"
滇池路 南亚旁 地铁口阳光花园一期 精装3室急售,阳光花园·旭苑 -红星,3室2厅 | 93.44平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,108,"11,559元/平"
巫家坝旁，3室2卫，满两年，精装带车位低价出售,蓝光水岸公园 -巫家坝,3室2厅 | 95.33平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,123,"12,903元/平"
金色交响三室两厅，带草坪车位，看房方便,金色交响家园 -金沙,3室2厅 | 103.28平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,105,"10,167元/平"
龙泉路 齿轮厂生活区  户型方正  刚需房急售,云南齿轮厂职工宿舍 -红云,3室2厅 | 74.25平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,62,"8,351元/平"
房东诚心卖，交通方便，设施完善，房本满二 随时看房,海伦国际米兰区 -世纪城,3室2厅 | 97.21平米 | 西 | 精装 | 高楼层(共40层)  | 塔楼,0人关注 / 30天以前发布,118,"12,139元/平"
精装修四房三卫 户型方正南北通透 产权清晰 看房方便,华龙人家 -红云,4室2厅 | 155.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,145,"9,337元/平"
一环市区 方正两室 中间楼层 地铁之上,昆明市电信局宿舍（豆腐厂巷） -白塔,2室1厅 | 59.31平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 14天以前发布,69.94,"11,793元/平"
中间楼层精装三房双卫红本在手诚心出售,东骧神骏 -金马,3室2厅 | 95平米 | 东 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 14天以前发布,105,"11,053元/平"
金色交响三房，出行方便，生活便利，房东急卖,金色交响家园 -金沙,3室2厅 | 103.28平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,105,"10,167元/平"
体育城退台洋房 房东急卖 价格美丽,新亚洲体育城万景园 -新亚洲,3室2厅 | 108平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,115,"10,649元/平"
二环以内，地段好，小区新颖，近地铁,鑫都韵城 -昆明站,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,150,"11,905元/平"
体育城星辰园 精装二房 楼层好 业主诚心出售,新亚洲体育城星辰园 -新亚洲,2室2厅 | 77.27平米 | 西北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 13天以前发布,95,"12,295元/平"
云师大  附  小旁 精装修三室带车位 楼层好 户型方正,俊发城紫薇苑 -司家营,3室2厅 | 95.51平米 | 西 | 精装 | 中楼层(共44层)  | 塔楼,0人关注 / 10天以前发布,97,"10,157元/平"
