标题,开发商,房子信息,发布信息,售价/万,单价
郡望花园 电梯洋房 三室 集中供暖 采光好视野好 急售,郡望花园北区 -鼓楼区政府,3室2厅 | 127.29平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,165,"12,963元/平"
金龙湖旁洋房社区，精装修拎包即住，,万科美的璞悦山 -金龙湖,3室2厅 | 100.24平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,5人关注 / 6个月以前发布,198,"19,753元/平"
卧室朝阳，视野好，交通便利，配套齐全,月星公馆 -蟠桃园,3室2厅 | 145.53平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,8人关注 / 9个月以前发布,167,"11,476元/平"
新盛尚和园 准新房 大户型 四开间朝阳 楼层好 采光好,新盛·上和园 -开元四季,4室2厅 | 156.87平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11天以前发布,270,"17,212元/平"
地铁口，小三室，已装修了，交通便利，方便出行,汉源国际丽城 -工程学院,3室2厅 | 109.14平米 | 南 北 | 简装 | 低楼层(共22层)  | 板塔结合,1人关注 / 1个月以前发布,169,"15,485元/平"
馨园小区，老证，二楼房子精装，云龙教育万达广场,馨园小区 -医科大学,2室1厅 | 58.81平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,16人关注 / 9个月以前发布,75,"12,753元/平"
开元三期 精装洋房 楼层好 视野开阔 采光充足,开元四季三期 -开元四季,3室2厅 | 109.21平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,132.7,"12,151元/平"
民富园小区(云龙区) 2室2厅 西南,民富园小区(云龙区) -狮子山,2室2厅 | 82.5平米 | 西南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 2个月以前发布,72,"8,728元/平"
急售！开元云龙谷精装四室双卫大平层 有8平米入户花园,开元四季三期 -开元四季,4室2厅 | 152.09平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,8人关注 / 4个月以前发布,176,"11,573元/平"
万科城悦庭 两室朝阳厅朝阳 二次装修,万科悦庭 -九里万科城,3室1厅 | 88.01平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,119,"13,522元/平"
单位宿舍人员素质较高。邻里关系和睦，小区闹中取静,苏堤小区（泉山区） -吴庄,2室1厅 | 80.97平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,16人关注 / 一年前发布,70,"8,646元/平"
万科物业，户型好，配套齐全，地铁口，出行方便,万科北宸天地 -鼓楼广场,3室2厅 | 94.96平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,169.8,"17,882元/平"
植物园旁 九里峰景东边户底价120万业主不讲价,九里峰景A区 -植物园,3室2厅 | 96.75平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,6人关注 / 4个月以前发布,120,"12,404元/平"
树德 山水龙瑞 四室2卫 诚心出售 带地下室价格可谈,山水龙瑞 -植物园,4室2厅 | 141.38平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 4个月以前发布,180,"12,732元/平"
前排 边户 观整个云龙湖 户型方正 视野好,万科翡翠天地 -段庄,3室2厅 | 115.35平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,22人关注 / 一年前发布,190,"16,472元/平"
倒马井-精装修。光荣巷-户型方正-楼层采光绝绝子,倒马井小区 -古彭,2室2厅 | 83.69平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 4个月以前发布,95,"11,352元/平"
民安园小三室，单价低，老证，诚意出售,西苑民安园 -西苑,3室2厅 | 83.81平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,92,"10,978元/平"
前排 边户 观整个云龙湖 户型方正 视野好,万科翡翠天地 -段庄,3室2厅 | 115.35平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,22人关注 / 一年前发布,190,"16,472元/平"
民安园小三室，单价低，老证，诚意出售,西苑民安园 -西苑,3室2厅 | 83.81平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,92,"10,978元/平"
美的翰城好房，少有四室，位置好...,美的翰城东区 -奥体中心,4室2厅 | 143.08平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,3人关注 / 5个月以前发布,280,"19,570元/平"
苏宁金鹰旁 永康小区 民主路可以用 低层 通透精装三室,永康小区 -苏宁广场,3室2厅 | 91.83平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,5人关注 / 3个月以前发布,226,"24,611元/平"
院彭祖园旁，地铁    随时过户 户型好， 看房方便,积翠新村 -中茵城,2室2厅 | 59.97平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 8天以前发布,63,"10,506元/平"
万科城麓园 小高层 二次精装小三室 南北通透 诚心出售,万科城麓园 -九里万科城,3室2厅 | 88.43平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,108,"12,214元/平"
苏宁广场旁 通透全明户型 民主路可以 用 视野开阔,永康小区 -苏宁广场,2室1厅 | 47.74平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,66人关注 / 7个月以前发布,120,"25,137元/平"
铜山万达广场 同盛路 低楼层 三室 视野开阔 采光好,同盛路 -泉山师大,3室2厅 | 103.18平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,78,"7,560元/平"
采光好 单价低 采光好 老证  三室  房东诚心出售,王场新村 -王场,3室1厅 | 62.64平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,7人关注 / 3个月以前发布,35.8,"5,716元/平"
成熟小区，配套齐全，出行方便，西侧泉山森林公园,泉山美墅 -泉山森林公园,3室2厅 | 132.96平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,213,"16,020元/平"
海尔智慧城，三居室精装未住低楼层，整体绿化环境优美,海尔滟澜公馆 -人民广场,3室2厅 | 96.27平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,217,"22,541元/平"
此房可以过户，双地铁口，房主急卖,绿地之窗国际花都三期 -高铁东站,3室2厅 | 98.42平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,25人关注 / 一年前发布,120,"12,193元/平"
万科淮海天地四街区 精装三室 老证 诚意出售,万科淮海天地四街区 -段庄,3室1厅 | 102.62平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,175,"17,054元/平"
子房美景  新装修 两室  采光视野 拎包就住,子房美景花園 -子房山,2室2厅 | 102.53平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,105,"10,241元/平"
万科悦庭 精装房 经典三室 价格合适 诚心出售 小高层,万科悦庭 -九里万科城,3室2厅 | 88.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,117,"13,213元/平"
云龙湖旁 滨湖花园二期 随时看房,滨湖花园二期 -滨湖,3室2厅 | 128.41平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,5人关注 / 8个月以前发布,248,"19,314元/平"
南北通风好户型 南向阳台业主诚意出售,万科城麓园 -九里万科城,3室2厅 | 87.18平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,120,"13,765元/平"
好房结好缘 我CD 总价低 采光佳 全明户型 房子内干净,苏堤南村 -七岔路口,2室1厅 | 60.42平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,62,"10,262元/平"
洋房大三室全天采光充足无遮挡适合大众群体,华商清水湾西区 -祥和,3室2厅 | 106.01平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,138,"13,018元/平"
风景区 积翠新村 多层二楼 两居室出售,积翠新村 -中茵城,2室1厅 | 60.13平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,2人关注 / 1个月以前发布,66,"10,977元/平"
满五唯一省个税，精装修，集中供暖，随时看房，,民健园 -西苑,3室1厅 | 79.67平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,65,"8,159元/平"
天然氧吧 康居小区 精装修3居室  风景秀丽,康居小区 -彭祖园,3室2厅 | 110.3平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,86,"7,797元/平"
泉山美墅 3室2厅 南 北,泉山美墅 -泉山森林公园,3室2厅 | 142.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 10个月以前发布,165,"11,548元/平"
急售！急售！精装打包出售，业主诚心出售,绿地梵顿公馆 -绿地商务城,3室2厅 | 90.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,156,"17,259元/平"
鼓楼区 徐矿城金桂园 集中供暖  诚信出售,金桂園 -九里万科城,3室2厅 | 93.65平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 9个月以前发布,90,"9,611元/平"
"急S,急S! 云龙万达~此房户型方正 全天采光无忧",民怡园 -狮子山,3室2厅 | 137.21平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,139,"10,131元/平"
二环路旁，万科淮海天地隔壁，位置好，楼层好视野开阔,鑫苑景城 -段庄,3室2厅 | 111.89平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,25人关注 / 一年前发布,187,"16,713元/平"
保利合景珑湾洋房，房子户型好，客厅和两个卧室朝南,保利合景珑湾 -高铁东站,4室2厅 | 121.08平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,24人关注 / 6个月以前发布,210,"17,344元/平"
泉山森林公园 中能科技园顶复 5+6 带电梯 精装修,中能科技园 -泉山森林公园,4室1厅 | 213平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,23人关注 / 一年前发布,380,"17,841元/平"
万达隔壁 房东急售 中层 随时看房子,和平壹号二期 -绿地世纪城,3室1厅 | 113.47平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,8人关注 / 10个月以前发布,175,"15,423元/平"
急售！万科三街区四室两卫婚房二次装修老证过户可谈价,万科淮海天地三街区 -段庄,4室2厅 | 132平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,247,"18,713元/平"
金龙湖旁 君庭湖畔 湖景房 市政供暖,君廷湖畔 -金龙湖,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,13人关注 / 一年前发布,175,"15,087元/平"
荣盛一期，三开朝阳，精装，中楼层,荣盛城一期 -火花,3室2厅 | 112.67平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,135,"11,982元/平"
云龙湖地铁口 开元四季三期精装修 好楼层 满五唯一,开元四季三期 -开元四季,2室2厅 | 98平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,18人关注 / 一年前发布,104,"10,613元/平"
户型方正宽双阳台视野更开阔 高品质物业服务 诚心出售,保利合景珑湾 -高铁东站,3室2厅 | 109.84平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,34人关注 / 一年前发布,150,"13,657元/平"
房子精装修户型位置好交通方便配套好近万达医院,荣盛香榭兰庭 -医科大学,2室1厅 | 72.98平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,6人关注 / 5个月以前发布,110,"15,073元/平"
万达广场 天赋2017年商品房  3号线师范大学地铁口,天赋广场 -铜山万达,2室2厅 | 89.17平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,7人关注 / 5个月以前发布,119,"13,346元/平"
一号线地铁口 电梯房 毛坯两室 户型方正 诚心出售,湖西雅苑C区 -开元四季,2室1厅 | 80.68平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,75,"9,296元/平"
棕榈湾西区精装户型通透采光好集中供暖拎包即住,煌庭棕榈湾西区 -祥和,2室1厅 | 92.96平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,128,"13,770元/平"
边户精装修，楼层采光漂亮，产证清白业主急售随时过户,汉源国际丽城 -工程学院,2室1厅 | 88.53平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,128,"14,459元/平"
首付20w  金鹰地铁口 少华街  民用水电有燃气 南向！,SOHO时代广场 -人民广场,1室1厅 | 50.18平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 3个月以前发布,83,"16,541元/平"
急售， 老证随时能过户 ，户型好，位置好,碧水湾 -泉山森林公园,2室2厅 | 60.75平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,66.5,"10,947元/平"
高楼层采光好，高品质小区，业主换房已购，诚意出售,恒大滨河左岸一期 -翟山,2室1厅 | 86.08平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,1人关注 / 一年前发布,102,"11,850元/平"
视野好，成熟小区，配套齐全，交通方便，出行方便,报社小区 -泉山区政府,2室1厅 | 63.42平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,49,"7,727元/平"
居家装修 家具家电都有 位置好 楼层好采光不受影响,协丰森林湾 -金山桥大厦,2室1厅 | 74.06平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,117,"15,799元/平"
房楼层好，视野宽阔，采光好，配套设施齐全，交通便利,矿山南村 -人民广场,1室1厅 | 27.73平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 7个月以前发布,49,"17,671元/平"
铁刹小区路东 广山西路二楼 精装修 出行便利 看房方便,广山西路小区 -九七医院,2室1厅 | 50.83平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,27人关注 / 一年前发布,39,"7,673元/平"
天山绿洲三期精装三室两卫有暖气 采光充足 大阳台,天山绿洲三期A区/B区 -儿童医院,3室2厅 | 116.09平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 3个月以前发布,160,"13,783元/平"
绿地三期，多层三层，精装修，采光好老证,绿地世纪城三期 -绿地世纪城,2室2厅 | 82.26平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,4人关注 / 6个月以前发布,115,"13,981元/平"
段庄 淮海路 小康人家 电梯房 大两室 集中供暖地铁口,小康人家二期 -段庄,2室2厅 | 110.79平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,154,"13,901元/平"
矿山南村一室一厅的房子出售   优质房源,矿山南村 -人民广场,1室1厅 | 44.3平米 | 东 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,51.8,"11,694元/平"
碧桂园物业管理好，小三室可贷款，精装拎包住,徐州碧桂园 -工程学院,3室1厅 | 120.13平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 2个月以前发布,148,"12,320元/平"
低楼层！地铁口！商品房！看房方便！,天成花园 -老矿大,2室2厅 | 84.96平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,80,"9,417元/平"
二环路风尚米兰户型方正采光好诚心出售,风尚米蘭 -鼓楼广场,2室1厅 | 89.24平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,1人关注 / 4个月以前发布,188,"21,067元/平"
一梯一户  带大地下室  精装修  家具家电全带,文泰康城 -泉山师大,2室2厅 | 88.12平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,10人关注 / 11个月以前发布,97,"11,008元/平"
视野宽阔，采光充足，3楼 新装修房龄新。,黄河新村 -儿童医院,2室1厅 | 66.15平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,71.4,"10,794元/平"
云龙湖边 地铁口 楼层好 采光视野好 出行方便,开元四季三期 -开元四季,2室1厅 | 99.63平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,114,"11,443元/平"
云龙湖边 经典小两室   精装修保养好 拎包入住,开元四季三期 -开元四季,2室2厅 | 84.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,115,"13,552元/平"
鼓楼区  中江陶然水岸  精装两室,中江陶然水岸 -龟山汉墓,2室2厅 | 82.08平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,13人关注 / 5个月以前发布,68,"8,285元/平"
荣盛城一期 2室2厅 南,荣盛城一期 -火花,2室2厅 | 79平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 4个月以前发布,93,"11,773元/平"
精装两室，视野好，家电家具全套出售,雨润新城玉兰苑 -火花,2室2厅 | 82.41平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 4个月以前发布,95,"11,528元/平"
恒大滨河左岸二期 经典两室 全明落地窗 中间楼层,恒大滨河左岸二期 -翟山,2室2厅 | 85.9平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,98,"11,409元/平"
地铁2 3号线交通便利 ，有多条公交线路覆盖整个城区,奎园晓月园 -奎园,3室1厅 | 77.41平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 一年前发布,76,"9,818元/平"
民祥园好楼层看房方便，你来看看啊,民祥园 -狮子山,2室2厅 | 90.31平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,4人关注 / 4个月以前发布,72,"7,973元/平"
民安园两室精装修 室内保养好 干净整洁 满五唯一,西苑民安园 -西苑,2室1厅 | 67.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,8人关注 / 6个月以前发布,65,"9,624元/平"
水岸春天 老证户型好 同楼层价格Z低装修Z好的一套,水岸春天 -祥和,2室1厅 | 96.07平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,92,"9,577元/平"
【和平上东】精装修2房打包出售+采光好+看房方便,协鑫和平上东 -金龙湖,2室2厅 | 87.89平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,127,"14,450元/平"
边户  集中供暖  采光户型好  开元云龙谷,开元四季三期 -开元四季,3室2厅 | 109.77平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,3人关注 / 3个月以前发布,138,"12,572元/平"
四季雅园两室精装修业主诚心出售看房子方便,四季雅园 -绿地世纪城,2室1厅 | 84.54平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,6人关注 / 4个月以前发布,100,"11,829元/平"
养老房 一楼带院 南北通透 集中供暖 配套成熟,郡望花园北区 -鼓楼区政府,2室2厅 | 88.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 5个月以前发布,125,"14,186元/平"
急售  万科城麓园洋房 小区环境优美,万科城麓园 -九里万科城,3室2厅 | 115.16平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,4人关注 / 3个月以前发布,180,"15,631元/平"
此房老证随时过户，阳台大，采光棒,徐钢七宿舍 -下淀,2室2厅 | 60.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,42,"6,913元/平"
雨润新城玉兰苑两室，正常过户房主急售,雨润新城玉兰苑 -火花,2室1厅 | 82平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,9人关注 / 一年前发布,97,"11,830元/平"
楼层好，采光充足，视野宽阔，人车分流，小区环境好,绿地高铁东城四期 -铜山区,3室2厅 | 88.6平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 10个月以前发布,88,"9,933元/平"
泊林经典三室，双卫更便捷，看房方便有钥匙随时看,泊林公馆二期 -绿地商务城,3室2厅 | 133.94平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,5人关注 / 一年前发布,225,"16,799元/平"
花语城婚房装修楼层好拎包就住带车位全屋定制柜子真多,荣盛花语城二期 -御景湾,3室2厅 | 134.12平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,193,"14,391元/平"
清水湾多层三楼大三室精装修带地下室看房子方便,华商清水湾东区 -祥和,3室2厅 | 123.47平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,32人关注 / 一年前发布,142.8,"11,566元/平"
昆仑御一楼养老房 精装修 诚心出售 户型方正,华润置地崐崘御 -翟山,3室2厅 | 98.27平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,5人关注 / 8个月以前发布,125,"12,721元/平"
云龙湖旁一梯两户精装两室朝南欢迎看房,纺南小区 -体育中心,2室1厅 | 63.06平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,24人关注 / 8个月以前发布,59,"9,357元/平"
此房户型好，三室双卫格局好，户型方正，精装修,华润置地崐崘御 -翟山,3室1厅 | 99.92平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,2人关注 / 4个月以前发布,143,"14,312元/平"
久隆凤凰城洋房 南北3居室 精装168万,久隆凤凰城塞纳河畔花园洋房 -铜山新区,3室2厅 | 142.63平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,1人关注 / 6个月以前发布,145,"10,167元/平"
隐山观湖现房小高层中间楼层诚意出售明年年初过户,颐居·隐山观湖 -铜山区,3室2厅 | 119.51平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 1个月以前发布,105,"8,786元/平"
宽阔四室 西明厅 改善 环境优美,荣盛城三期 -火花,4室2厅 | 142.92平米 | 西北 | 精装 | 低楼层(共34层)  | 板楼,8人关注 / 8个月以前发布,165,"11,545元/平"
植物园旁，电梯房，新装修一次未住。有车位和地下室,豪绅嘉苑 -植物园,3室1厅 | 124.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,22人关注 / 8个月以前发布,155,"12,455元/平"
万科物业，人车分流小区。服务好环境好！,万科新都会 -铜山万达,3室2厅 | 101.43平米 | 北 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 3个月以前发布,158,"15,578元/平"
新都佳苑 明厅 双卫 精装保养好 满五唯一 总高9小高层,新都佳苑 -大润发,3室2厅 | 134.8平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,27人关注 / 一年前发布,165,"12,241元/平"
花园电梯洋房，经典飞机户型，棒棒哒,中维·月桥花院 -工程学院,3室1厅 | 112.69平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,195,"17,305元/平"
锦绣年华 花园洋房 地铁 楼层好,锦绣年华 -段庄,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,190,"15,703元/平"
少华街 集中供暖 精装三室  户型方正 采光好 动静分离,万科翡翠天御 -人民广场,3室2厅 | 124.31平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,312,"25,099元/平"
花语城小三室一次未住适合婚房楼层适中有车位诚意出售,荣盛花语城二期 -御景湾,3室2厅 | 101.56平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,137,"13,490元/平"
楼间距大、采光全天无遮挡、四开间朝南。,保利鑫城 -金龙湖,3室2厅 | 124.22平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,6人关注 / 3个月以前发布,229,"18,436元/平"
新都佳苑 明厅 双卫 精装保养好 满五唯一 总高9小高层,新都佳苑 -大润发,3室2厅 | 134.8平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,27人关注 / 一年前发布,165,"12,241元/平"
花园电梯洋房，经典飞机户型，棒棒哒,中维·月桥花院 -工程学院,3室1厅 | 112.69平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,195,"17,305元/平"
恒大中间 不临路户型好 一梯一户独立入户 三开间朝阳,恒大滨河左岸一期 -翟山,4室2厅 | 137.25平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,205,"14,937元/平"
此房通风效果好，楼层好，视野宽阔，采光充足,绿地高铁东城四期 -铜山区,3室2厅 | 104.47平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,116,"11,104元/平"
新城区美的翰城3室2厅南北通透毛坯房，,美的翰城东区 -奥体中心,3室2厅 | 105.8平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,165,"15,596元/平"
房子户型经典 一卫小三室 采光不受干扰 看房方便,万科城麓园 -九里万科城,3室2厅 | 105.21平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,3人关注 / 4个月以前发布,167,"15,874元/平"
荣盛好户型，一次未住，楼层好，采光充足，通风好。,荣盛城一期 -火花,3室2厅 | 112.67平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,9人关注 / 3个月以前发布,132,"11,716元/平"
准新小区，泉山区大润发旁，经典小三室！,中海·铂悦府 -翟山,3室2厅 | 95.48平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,1人关注 / 2个月以前发布,123,"12,883元/平"
中楼层  小区中间位置  出行方便 一号线地铁口 韩山站,荣盛城一期 -火花,3室2厅 | 134.1平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,150,"11,186元/平"
娇山湖畔 次新小区 集中供暖 低密度新社区 环境优美,颐居·隐山观湖 -铜山区,3室2厅 | 96.17平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,85,"8,839元/平"
东湖新城 绿地三期 中间楼层小三室 诚心出售,绿地高铁东城三期 -大庙,3室2厅 | 87.24平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,3人关注 / 5个月以前发布,79,"9,056元/平"
东三环地铁口，精装修未住，位置很好，户型大宽厅,万科尚都会 -黄山垅,3室2厅 | 125.67平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,50人关注 / 一年前发布,186,"14,801元/平"
华润崐崘御次新小区三室二厅二卫房东急售,华润置地崐崘御 -翟山,3室2厅 | 99.92平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,139.9,"14,002元/平"
"飞机户型+得房率90%,地铁一号线",开元四季三期 -开元四季,3室2厅 | 114.17平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,34人关注 / 一年前发布,138,"12,088元/平"
通发达，环境优美，生活便利，适合各类人,中锐星尚城 -工程学院,4室2厅 | 148平米 | 南 北 东南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,245,"16,555元/平"
精装修拎包入住，户型方正采光好视野开阔，房主急售,保利合景珑湾 -高铁东站,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,14人关注 / 8个月以前发布,128,"14,546元/平"
豪，华装修，家具家电齐全，视野开阔，采光充足！,雨润新城玉兰苑 -火花,3室2厅 | 122.46平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 1个月以前发布,147,"12,004元/平"
好房结好缘  翡翠天御精装三居室 全新 宽厅,万科翡翠天御 -人民广场,3室2厅 | 124.18平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,3人关注 / 6个月以前发布,305,"24,562元/平"
精装修三室两厅，楼层好，采光通风不错,璟悦 -金龙湖,3室2厅 | 102.86平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,175,"17,014元/平"
