标题,开发商,房子信息,发布信息,售价/万,单价
新上房源 房本满5年无个税 小区中间位置 地段优越,桃园新村(川沙) -川沙,2室1厅 | 65.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,25人关注 / 3个月以前发布,316,"48,171元/平"
城南居委小区 2室1厅 南,城南居委小区 -川沙,2室1厅 | 48.46平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,2人关注 / 3个月以前发布,215,"44,367元/平"
浦江8号延长线200米+商品房+边套大一房，满五唯 一,汇颂南苑 -闵浦,1室1厅 | 61.23平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,75人关注 / 一年前发布,230,"37,564元/平"
中间楼层的大三房，有露台，产权清晰，店长推荐,鑫唐佳苑 -唐镇,3室2厅 | 122.19平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,65人关注 / 8个月以前发布,570,"46,649元/平"
近漕河泾开发区，近地铁，南北两房带花园,上虹新村 -金虹桥,2室1厅 | 70.79平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,2人关注 / 2个月以前发布,499,"70,491元/平"
楼栋位置安静，税费少，采光刺眼,航华四村 -航华,2室1厅 | 50.19平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,11人关注 / 1个月以前发布,290,"57,781元/平"
新明星花园 2室2厅 南,新明星花园 -航华,2室2厅 | 92.57平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,4人关注 / 1个月以前发布,660,"71,298元/平"
中间楼层＋南北通透＋近地铁沈梅路＋业主诚意税费少,欧风家园 -周浦,2室1厅 | 70.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,20人关注 / 4个月以前发布,340,"48,091元/平"
小区都在看的一房，购房成本低，楼层好,海上新村 -古美,1室1厅 | 44.75平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,0人关注 / 20天以前发布,305,"68,157元/平"
市区临苏州河滨水花园，传统经典复式大宅，看房随时！,绿洲城市花园 -长寿路,5室2厅 | 228.27平米 | 南 | 精装 | 高楼层(共11层) | 1998年建 | 板楼,28人关注 / 9个月以前发布,1750,"76,664元/平"
经典电梯1房 诚意出售  位置好  户型好 采光好,玉兰香苑(四期) -唐镇,1室1厅 | 61.93平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,3人关注 / 5个月以前发布,424,"68,465元/平"
精装修，全明户型，采光不遮挡，产权清晰,德怡苑 -长寿路,1室1厅 | 35.59平米 | 南 | 精装 | 低楼层(共7层) | 1985年建 | 板楼,2人关注 / 3个月以前发布,298,"83,732元/平"
要出国了 诚意卖   电梯房 单价低 总价低  内环边,新联大楼 -中山公园,1室0厅 | 36.07平米 | 南 | 精装 | 低楼层(共17层) | 1988年建 | 塔楼,291人关注 / 9个月以前发布,243,"67,370元/平"
张江高科技园区，交通方便，配套完善,中芯花园199弄 -张江,2室1厅 | 65.9平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,55人关注 / 4个月以前发布,360,"54,629元/平"
普陀新天地电梯两房 总价低 配套全 四轨交 抗跌采光好,长寿新村(普陀) -长寿路,2室0厅 | 71.55平米 | 西南 | 简装 | 低楼层(共26层) | 1995年建 | 塔楼,22人关注 / 2个月以前发布,535,"74,773元/平"
此房中区，采光充足，得房率高，溢价空间大,天山河畔花园 -天山,3室2厅 | 141.7平米 | 南 北 | 精装 | 中楼层(共24层) | 2006年建 | 板楼,3人关注 / 1个月以前发布,1650,"116,444元/平"
徐汇漕河泾，08年电梯房，两房两卫，房子满五年,永兆豪庭 -漕河泾,2室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,106人关注 / 5个月以前发布,1140,"102,224元/平"
闸北公园南北通大三房，单价低，中间楼层，房龄新,延平小区 -闸北公园,3室1厅 | 89.27平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,16人关注 / 7天以前发布,560,"62,732元/平"
近地铁，小区环境好，税费低，诚意卖房。,贝越流明新苑 -张江,3室2厅 | 129.35平米 | 南 | 精装 | 中楼层(共5层) | 2003年建 | 板楼,5人关注 / 9个月以前发布,880,"68,033元/平"
户型方正 南北通，交通便利，配套齐全，带院子,万馨佳园 -川沙,2室1厅 | 77.15平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,15人关注 / 3个月以前发布,425,"55,088元/平"
店长推荐：绿波城一房，红本在手看房方便,绿波城 -唐镇,1室1厅 | 59平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,1人关注 / 5个月以前发布,354,"60,000元/平"
内环边，板式户型，中间楼层南北通透两房，采光好,海联花苑 -金虹桥,2室2厅 | 83.4平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,50人关注 / 1个月以前发布,670,"80,336元/平"
精装大三房  户型通透  采光好,绿地金卫新家园（东区） -金山,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,5人关注 / 一年前发布,205,"17,373元/平"
带30平花园 满五且仅一套 户型方正,鸿基公寓 -川沙,3室2厅 | 103.4平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,11人关注 / 一年前发布,430,"41,587元/平"
满五、低总价、低密度、不临街、有院子,康乐小区(徐汇) -康健,1室1厅 | 36.22平米 | 南 | 简装 | 低楼层(共4层) | 1992年建 | 板楼,8人关注 / 2个月以前发布,330,"91,110元/平"
高区景观房，内环内，近地铁，户型方正，采光通风好,凤凰大楼 -鞍山,2室2厅 | 110.44平米 | 西南 | 精装 | 高楼层(共25层) | 1998年建 | 塔楼,6人关注 / 11天以前发布,730,"66,100元/平"
二期中间位置马戏城地铁口，大宁久光中远两湾城,新梅共和城 -大宁,2室2厅 | 89.98平米 | 南 | 简装 | 中楼层(共14层) | 2003年建 | 板楼,7人关注 / 10天以前发布,971,"107,913元/平"
全新准现房 大三房两卫 高楼层 采光刺眼 满五税少,万科城 -老闵行,3室2厅 | 102.56平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 5天以前发布,570,"55,578元/平"
满五年税费少，楼层好，位置佳，视野开阔 ！风景好！,高行绿洲(五期) -高行,2室1厅 | 74平米 | 南 | 精装 | 中楼层(共14层) | 2010年建 | 板楼,12人关注 / 5个月以前发布,425,"57,433元/平"
自住精装修，楼层适中，凌空路地铁2号线，配套成熟,凌港城 -川沙,1室1厅 | 58.63平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,56人关注 / 3个月以前发布,205,"34,966元/平"
上海康城 4室2厅 南 北,上海康城 -莘闵别墅,4室2厅 | 191.83平米 | 南 北 | 毛坯 | 高楼层(共17层) | 2006年建 | 板楼,9人关注 / 12天以前发布,1050,"54,736元/平"
满五年，售后公房，税费少，位置安静，购房成本低。,永乐苑 -大宁,2室2厅 | 84.82平米 | 南 北 | 精装 | 6层 | 1999年建 | 板楼,5人关注 / 5天以前发布,780,"91,960元/平"
2014年次新房，内环旁，9/15号线双地铁，满五,徐汇世家花园 -田林,2室2厅 | 94.88平米 | 南 | 精装 | 中楼层(共35层) | 2014年建 | 板楼,29人关注 / 8天以前发布,1020,"107,505元/平"
非顶楼 东边套 诚心出售 有钥匙 随时可看,江海新村 -南桥,3室1厅 | 86.24平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,2人关注 / 3天以前发布,152,"17,626元/平"
楼层好，采光好南北朝向，房东诚意出售,绿地璀璨天城 -老闵行,3室2厅 | 95.2平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 7天以前发布,465,"48,845元/平"
近前滩 张江南 18号线康桥站 价格可谈,城中花园 -康桥,3室2厅 | 122.2平米 | 南 北 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,11人关注 / 7天以前发布,688,"56,302元/平"
浣纱五村 2室2厅 南 西,浣纱五村 -黄兴公园,2室2厅 | 95.71平米 | 南 西 | 简装 | 中楼层(共25层)  | 塔楼,1人关注 / 8天以前发布,688,"71,884元/平"
南北通 精装修 采光好视野好 配套齐全交通便利,新世纪花苑(二期)(浦东) -世博,3室1厅 | 97.46平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 6天以前发布,780,"80,033元/平"
三房！！ 满五年 有装修 上师大 小区品质高  必卖！,临港海滨国际花园 -临港新城,3室2厅 | 87.67平米 | 南 北 | 简装 | 中楼层(共13层) | 2011年建 | 板楼,1人关注 / 3天以前发布,193,"22,015元/平"
此房满五，税费少，南北通，小区中间位置，采光通风佳,环庆新苑 -合庆,2室2厅 | 66.01平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,6人关注 / 7天以前发布,256,"38,783元/平"
精装修 次新房 总价低 拎包入住 无遮挡 采光好,绿洲康城亲水湾(中央区) -御桥,2室1厅 | 64.27平米 | 南 | 精装 | 低楼层(共20层) | 2017年建 | 板楼,10人关注 / 10天以前发布,457,"71,107元/平"
少见好位置两室，南北通，采光好，高档小区，一梯两户,远景佳苑二期 -大华,2室2厅 | 85.44平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,5人关注 / 14天以前发布,666,"77,950元/平"
S3+16号线 上下两层 有电梯 4室3卫,汇锦城(一期) -新场,4室2厅 | 182.83平米 | 北 南 | 毛坯 | 中楼层(共5层) | 2011年建 | 板楼,4人关注 / 16天以前发布,640,"35,006元/平"
地铁2房，南北户型，动迁无，看房有钥匙，诚意卖,澜茵华庭 -江桥,2室2厅 | 74.52平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,5人关注 / 10天以前发布,424,"56,898元/平"
曙建路站，电梯小高层，免增值税，花园位置，清水房,银河新都 -春申,2室1厅 | 71.78平米 | 南 北 | 毛坯 | 中楼层(共9层) | 2010年建 | 板楼,2人关注 / 4天以前发布,446,"62,135元/平"
震撼价！！地铁口500米，两卧朝南，高楼层，冬暖夏凉,龙柏三村 -龙柏,2室1厅 | 72.91平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,9人关注 / 8天以前发布,445,"61,035元/平"
逸仙二村 1室1厅 南,逸仙二村 -高境,1室1厅 | 46.57平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,2人关注 / 7天以前发布,238,"51,106元/平"
近地铁，高楼层，户型佳，采光好，房东诚意出售。,新凯城香樟苑 -泗泾,2室1厅 | 69.27平米 | 南 北 | 精装 | 中楼层(共13层) | 2011年建 | 板楼,18人关注 / 9天以前发布,268,"38,690元/平"
华骥苑，奢靡两房，尽享生活柴米油盐,华骥苑 -夏阳,2室2厅 | 92.33平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,3人关注 / 9天以前发布,299,"32,384元/平"
配套齐全，居住舒服，满五年，店长首推,共富花园 -共富,2室2厅 | 76.01平米 | 南 | 简装 | 6层 | 1998年建 | 板楼,7人关注 / 10天以前发布,350,"46,047元/平"
原动迁 精装修 采光好 南北通,聚缘南庭 -闵浦,2室1厅 | 74.89平米 | 南 | 精装 | 高楼层(共11层) | 2013年建 | 板楼,4人关注 / 8天以前发布,280,"37,389元/平"
两南一北的户型，户型好。中间楼层，位置好,南洋博仕欣居 -老闵行,3室2厅 | 131.17平米 | 南 北 | 简装 | 中楼层(共14层) | 2005年建 | 板楼,4人关注 / 6天以前发布,799,"60,914元/平"
地铁口商品房，边套户型中间楼层，精装修满五税费少,中建溪岸澜庭 -南翔,3室2厅 | 87.77平米 | 南 北 | 精装 | 18层 | 2014年建 | 板楼,8人关注 / 7天以前发布,599,"68,247元/平"
