c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
110.59,0,0,1754,0,3362.1,0,78.0,64.62,78,0,628600,0,32.24,30.87,1,1,3,0,2,118.6,20.6,106,1,11000
437.9,1,0,2029,0,13270.7,0,509.7,509.69,41,1,1232000,0,28.19,23.18,0,0,1,0,6,113.08,143.7,120,0,17000
437.9,1,0,1715,1,13270.7,1,509.7,509.69,36,0,1232000,2,28.15,23.18,0,0,1,0,6,113.01,143.7,51,0,7000
437.9,1,0,1699,1,13270.7,0,509.7,509.69,88,0,1232000,0,28.31,23.18,1,0,4,0,6,112.89,143.7,127,0,6200
437.9,1,0,4116,0,13270.7,0,509.7,509.69,78,1,1232000,2,28.24,23.18,1,0,4,0,6,113.03,143.7,139,0,9800
437.9,1,0,952,1,13270.7,1,509.7,509.69,87,1,1232000,0,28.23,23.18,0,0,3,0,6,113.0,143.7,114,0,12000
1645.38,1,0,658,1,27894.02,0,2649.8,1322.63,79,1,7668559,2,29.43,321.39,0,0,5,0,4,106.45,429.5,149,0,13000
1645.38,1,0,870,1,27894.02,0,2649.8,1322.63,251,1,7668559,2,29.71,321.39,0,0,5,0,4,106.83,429.5,286,0,10000
1645.38,1,0,841,1,27894.02,1,2649.8,1322.63,230,0,7668559,0,29.67,321.39,0,0,5,0,4,106.54,429.5,230,0,27000
1645.38,1,0,204,0,27894.02,0,2649.8,1322.63,95,0,7668559,2,29.71,321.39,0,1,4,0,4,106.81,429.5,140,0,10000
1645.38,1,0,354,1,27894.02,0,2649.8,1322.63,81,1,7668559,2,29.71,321.39,1,0,4,0,4,106.83,429.5,223,0,12000
1645.38,1,0,747,1,27894.02,0,2649.8,1322.63,227,0,7668559,2,29.71,321.39,1,0,9,0,4,106.47,429.5,897,0,13000
1645.38,1,0,763,1,27894.02,0,2649.8,1322.63,86,1,7668559,0,29.69,321.39,1,0,4,0,4,106.79,429.5,138,0,14000
1645.38,1,0,832,0,27894.02,0,2649.8,1322.63,121,1,7668559,0,29.69,321.39,1,0,4,0,4,106.79,429.5,137,0,15000
1645.38,1,0,2698,0,27894.02,1,2649.8,1322.63,275,1,7668559,0,29.55,321.39,1,0,5,0,4,106.6,429.5,876,0,56000
1055.79,0,1,235,0,19916.98,0,1127.0,931.29,90,0,1222300,2,30.48,159.0,0,0,4,0,4,104.05,289.8,162,0,27000
